StudentID,Math,Physics,Chemistry,English,Attendance
1824,45,46,28.0,42.0,83
1825,61,78,51.0,74.0,80
1826,68,60,70.0,98.0,91
1827,24,86,33.0,77.0,84
1828,51,86,88.0,70.0,57
1829,100,26,44.0,57.0,83
1830,56,79,41.0,74.0,73
1831,86,38,79.0,77.0,60
1832,94,89,37.0,70.0,81
1833,78,95,45.0,78.0,60
1834,40,35,31.0,34.0,100
1835,87,69,85.0,98.0,65
1836,41,62,92.0,39.0,65
1837,26,73,59.0,59.0,83
1838,36,45,,99.0,71
1839,83,89,20.0,97.0,86
1840,80,78,72.0,,60
1841,90,55,99.0,100.0,90
1842,43,38,27.0,64.0,57
1843,93,97,58.0,62.0,60
1844,42,40,56.0,98.0,97
1845,91,42,78.0,94.0,78
1846,58,61,67.0,68.0,59
1847,28,57,80.0,37.0,62
1848,87,72,87.0,46.0,99
1849,93,100,87.0,31.0,85
1850,56,74,97.0,60.0,71
1851,65,36,98.0,92.0,86
1852,83,43,98.0,49.0,100
1853,35,23,79.0,100.0,62
1854,98,73,72.0,25.0,76
1855,47,21,45.0,56.0,71
1856,84,90,61.0,20.0,62
1857,92,98,23.0,42.0,67
1858,81,80,24.0,37.0,85
1859,88,62,79.0,72.0,58
1860,60,91,88.0,22.0,68
1861,65,28,39.0,55.0,56
1862,88,41,93.0,97.0,79
1863,59,60,24.0,54.0,81
1864,67,77,58.0,47.0,88
1865,24,45,31.0,76.0,87
1866,84,39,44.0,63.0,85
1867,61,38,32.0,86.0,98
1868,24,78,,86.0,62
1869,96,31,62.0,79.0,57
1870,59,22,93.0,59.0,95
1871,44,56,55.0,88.0,75
1872,54,39,,55.0,62
1873,85,33,46.0,89.0,77
1874,56,93,51.0,41.0,59
1875,89,76,26.0,36.0,56
1876,33,69,26.0,31.0,82
1877,95,100,77.0,98.0,77
1878,88,30,79.0,92.0,63
1879,79,32,78.0,59.0,98
1880,80,49,48.0,38.0,94
1881,43,62,61.0,78.0,86
1882,64,81,79.0,41.0,73
1883,36,85,33.0,71.0,100
1884,29,58,88.0,79.0,80
1885,51,90,40.0,81.0,79
1886,95,75,75.0,92.0,76
1887,29,93,82.0,34.0,92
1888,32,76,42.0,59.0,80
1889,96,68,61.0,83.0,96
1890,37,94,20.0,38.0,97
1891,69,98,93.0,77.0,67
1892,58,92,58.0,75.0,100
1893,31,94,21.0,98.0,87
1894,57,27,,90.0,58
1895,65,34,56.0,23.0,70
1896,100,60,68.0,71.0,79
1897,42,80,37.0,44.0,90
1898,73,39,,36.0,63
1899,38,82,75.0,37.0,60
1900,78,97,74.0,99.0,66
1901,77,69,65.0,,66
1902,83,50,84.0,54.0,81
1903,24,24,92.0,81.0,100
1904,30,38,87.0,55.0,84
1905,98,31,51.0,80.0,95
1906,29,89,94.0,59.0,94
1907,21,80,78.0,85.0,85
1908,65,57,57.0,41.0,57
1909,58,92,53.0,27.0,95
1910,26,57,99.0,23.0,73
1911,29,55,52.0,36.0,94
1912,21,34,97.0,42.0,92
1913,67,42,53.0,50.0,86
1914,24,63,30.0,38.0,93
1915,83,72,69.0,50.0,97
1916,46,93,64.0,26.0,96
1917,26,41,79.0,71.0,85
1918,88,49,68.0,69.0,85
1919,75,21,56.0,77.0,79
1920,25,32,88.0,65.0,82
1921,54,62,54.0,54.0,61
1922,79,50,95.0,44.0,88
1923,43,60,,21.0,98
1924,72,32,87.0,33.0,98
1925,56,52,44.0,24.0,56
1926,96,47,96.0,35.0,100
1927,97,36,68.0,92.0,66
1928,52,57,79.0,29.0,95
1929,74,61,52.0,40.0,59
1930,69,62,27.0,53.0,71
1931,45,98,70.0,42.0,96
1932,75,47,98.0,33.0,83
1933,29,29,,52.0,83
1934,20,24,69.0,54.0,64
1935,93,20,85.0,82.0,85
1936,28,89,48.0,20.0,79
1937,81,35,92.0,88.0,77
1938,27,100,31.0,66.0,89
1939,78,57,45.0,42.0,90
1940,44,58,69.0,33.0,95
1941,100,76,44.0,37.0,57
1942,95,50,82.0,69.0,59
1943,83,88,77.0,22.0,57
1944,25,71,35.0,47.0,96
1945,88,39,94.0,49.0,59
1946,22,80,99.0,25.0,70
1947,42,100,26.0,59.0,61
1948,95,28,33.0,34.0,86
1949,28,45,74.0,63.0,98
1950,93,89,37.0,61.0,68
1951,62,28,35.0,55.0,64
1952,67,90,41.0,76.0,70
1953,32,100,,68.0,65
1954,20,20,42.0,31.0,100
1955,73,80,36.0,46.0,64
1956,72,50,42.0,98.0,99
1957,83,98,31.0,,74
1958,50,44,35.0,87.0,61
1959,89,84,48.0,79.0,95
1960,44,34,39.0,80.0,86
1961,25,26,66.0,56.0,68
1962,78,25,33.0,26.0,89
1963,82,85,34.0,29.0,70
1964,61,73,45.0,61.0,69
1965,32,50,72.0,45.0,79
1966,94,82,26.0,75.0,64
1967,42,69,67.0,37.0,84
1968,54,45,62.0,36.0,57
1969,37,34,79.0,78.0,81
1970,57,97,40.0,98.0,65
1971,49,31,72.0,86.0,86
1972,80,79,55.0,21.0,82
1973,61,75,94.0,48.0,92
1974,20,73,25.0,25.0,85
1975,74,87,70.0,81.0,99
1976,50,30,91.0,21.0,99
1977,36,65,57.0,,96
1978,59,40,78.0,93.0,92
1979,37,71,43.0,67.0,95
1980,100,29,69.0,62.0,88
1981,54,98,89.0,93.0,68
1982,62,27,85.0,66.0,58
1983,99,25,66.0,66.0,66
1984,91,46,37.0,62.0,70
1985,94,46,48.0,61.0,77
1986,74,55,26.0,28.0,78
1987,87,35,80.0,88.0,98
1988,77,99,67.0,28.0,67
1989,30,70,42.0,56.0,59
1990,38,83,39.0,46.0,88
1991,73,89,36.0,80.0,77
1992,22,57,44.0,28.0,56
1993,86,62,72.0,94.0,76
1994,82,95,87.0,90.0,83
1995,59,41,53.0,49.0,85
1996,26,38,65.0,56.0,84
1997,40,88,56.0,43.0,66
1998,39,40,50.0,34.0,57
1999,76,53,67.0,43.0,68
2000,60,64,38.0,67.0,83
